"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Scavenging By Class A Receptors R-HSA-3000480","2/19",3.83009471011999e-05,0.00282943269719571,0,0,293.720588235294,2987.14893678889,"MSR1;APOE"
"Innate Immune System R-HSA-168249","5/1035",7.44587551893609e-05,0.00282943269719571,0,0,18.4077669902913,174.97070712064,"SLC11A1;CLEC5A;OLR1;HMOX1;TREM2"
"Binding And Uptake Of Ligands By Scavenger Receptors R-HSA-2173782","2/41",0.000182593168622941,0.00381839316896186,0,0,127.891025641026,1100.91792175658,"MSR1;APOE"
"DAP12 Interactions R-HSA-2172127","2/43",0.000200968061524309,0.00381839316896186,0,0,121.640243902439,1035.44610131594,"CLEC5A;TREM2"
"Neutrophil Degranulation R-HSA-6798695","3/468",0.00135143466830362,0.0180853176824807,0,0,17.9953917050691,118.888148495524,"SLC11A1;CLEC5A;OLR1"
"Immune System R-HSA-168256","5/1943",0.00142778823809058,0.0180853176824807,0,0,9.31475748194014,61.026832626543,"SLC11A1;CLEC5A;OLR1;HMOX1;TREM2"
"Chylomicron Clearance R-HSA-8964026","1/5",0.00249770786419674,0.0237282247098691,0,0,555.166666666667,3326.77064151216,"APOE"
"Regulation Of HMOX1 Expression And Activity R-HSA-9707587","1/5",0.00249770786419674,0.0237282247098691,0,0,555.166666666667,3326.77064151216,"HMOX1"
"Transport Of Small Molecules R-HSA-382551","3/706",0.00436440851641918,0.0310345592882566,0,0,11.7579760211339,63.8960469800998,"SLC11A1;HMOX1;APOE"
"Chylomicron Assembly R-HSA-8963888","1/9",0.00449184410751083,0.0310345592882566,0,0,277.527777777778,1500.17416789664,"APOE"
"Chylomicron Remodeling R-HSA-8963901","1/9",0.00449184410751083,0.0310345592882566,0,0,277.527777777778,1500.17416789664,"APOE"
"HDL Remodeling R-HSA-8964058","1/10",0.00498981788934786,0.0316021799658698,0,0,246.679012345679,1307.48654986014,"APOE"
"Heme Degradation R-HSA-189483","1/16",0.00797295899684864,0.0403963255840331,0,0,147.962962962963,714.912587220804,"HMOX1"
"Plasma Lipoprotein Assembly R-HSA-8963898","1/16",0.00797295899684864,0.0403963255840331,0,0,147.962962962963,714.912587220804,"APOE"
"NLRP3 Inflammasome R-HSA-844456","1/16",0.00797295899684864,0.0403963255840331,0,0,147.962962962963,714.912587220804,"HMOX1"
"Other Semaphorin Interactions R-HSA-416700","1/19",0.00946151051239574,0.0449421749338798,0,0,123.283950617284,574.567716360615,"TREM2"
"Inflammasomes R-HSA-622312","1/21",0.0104527615118677,0.0462251095339606,0,0,110.944444444444,506.005304706543,"HMOX1"
"Insertion Of Tail-Anchored Proteins Into Endoplasmic Reticulum Membrane R-HSA-9609523","1/22",0.0109480522580433,0.0462251095339606,0,0,105.656084656085,476.99429568907,"HMOX1"
"Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424","1/25",0.0124325865055396,0.0480703992181471,0,0,92.4351851851852,405.553302875665,"HMOX1"
"Metal Ion SLC Transporters R-HSA-425410","1/26",0.0129269855424659,0.0480703992181471,0,0,88.7333333333333,385.851420723694,"SLC11A1"
"DAP12 Signaling R-HSA-2424491","1/28",0.0139151155631478,0.0480703992181471,0,0,82.1522633744856,351.182817850539,"TREM2"
"Metabolism Of Porphyrins R-HSA-189445","1/28",0.0139151155631478,0.0480703992181471,0,0,82.1522633744856,351.182817850539,"HMOX1"
"Nuclear Signaling By ERBB4 R-HSA-1251985","1/32",0.0158887058240638,0.0484737256038169,0,0,71.5376344086021,296.31937970283,"APOE"
"Plasma Lipoprotein Remodeling R-HSA-8963899","1/33",0.0163815476907073,0.0484737256038169,0,0,69.2986111111111,284.928149930553,"APOE"
"Plasma Lipoprotein Clearance R-HSA-8964043","1/35",0.0173665651965465,0.0484737256038169,0,0,65.2156862745098,264.332771444539,"APOE"
