"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.93354105833658,0.602,0.024,0,"0","COL11A1"
0,5.82038247659903,0.621,0.024,0,"0","NKD2"
0,5.7474763460852,0.629,0.031,0,"0","INHBA"
0,5.05068505875921,0.563,0.031,0,"0","CTHRC1"
0,4.84190319115775,0.422,0.021,0,"0","COL8A1"
0,4.7872109781394,0.26,0.018,0,"0","MMP11"
0,4.70673759833824,0.398,0.021,0,"0","ADAMTS14"
0,4.6690111823059,0.994,0.397,0,"0","COL1A1"
0,4.52423858760567,0.968,0.211,0,"0","COL1A2"
0,4.51697796795952,0.601,0.031,0,"0","CDH11"
0,2.70540495559824,0.859,0.175,0,"1","MAPK15"
4.66416220533841e-296,2.61900231600563,0.261,0.031,8.09418709114427e-292,"1","DNAJB13"
0,2.58173501891593,0.485,0.07,0,"1","PCP2"
0,2.52670322389058,0.415,0.058,0,"1","ANKRD65"
4.03577675965772e-315,2.51568310284605,0.29,0.036,7.00368698871002e-311,"1","TTLL9"
1.74118429345186e-300,2.46670856330247,0.312,0.046,3.02165122285636e-296,"1","KCNK15"
5.38928133913827e-305,2.3678317700749,0.299,0.041,9.35255883594055e-301,"1","DNAH7"
3.92016053114967e-220,2.33516895714428,0.261,0.043,6.80304658575713e-216,"1","SYNDIG1"
0,2.19235357341671,0.541,0.112,0,"1","CYP4B1"
0,2.18997545540039,0.428,0.083,0,"1","CRB2"
0,4.40941596963951,0.502,0.018,0,"2","SPC25"
0,4.36581323168678,0.531,0.024,0,"2","RAD54L"
0,4.29172476041929,0.52,0.022,0,"2","POLQ"
0,4.28166602941075,0.566,0.026,0,"2","HJURP"
0,4.19484984680126,0.427,0.02,0,"2","TROAP"
0,4.19222702184831,0.302,0.012,0,"2","TICRR"
0,4.15542508144726,0.451,0.021,0,"2","KIF18B"
0,4.13524596263112,0.391,0.018,0,"2","KIF2C"
0,4.10345673226372,0.393,0.019,0,"2","ASPM"
0,4.10197797515244,0.433,0.018,0,"2","TYMS"
0,6.55233183346466,0.414,0.004,0,"3","CLEC5A"
0,6.39511307860443,0.332,0.004,0,"3","TREM2"
0,6.35289189142009,0.633,0.042,0,"3","SPP1"
0,5.80103638467146,0.511,0.035,0,"3","FCGBP"
0,5.76805826076439,0.53,0.008,0,"3","OLR1"
0,4.99653872493033,0.677,0.097,0,"3","APOE"
0,4.84713203486666,0.268,0.011,0,"3","HMOX1"
0,4.79124564269608,0.546,0.015,0,"3","SLC11A1"
0,4.7004862415231,0.35,0.009,0,"3","FCGR3A"
0,4.68045919634184,0.474,0.012,0,"3","MSR1"
0,6.79647733242517,0.612,0.019,0,"4","ABCA10"
0,5.32492049131922,0.581,0.036,0,"4","C7"
0,5.29855626462082,0.39,0.029,0,"4","ABCA8"
1.04902883786864e-287,4.93078094470002,0.27,0.037,1.82048464523724e-283,"4","F3"
0,4.65371887100718,0.319,0.029,0,"4","ABCA6"
0,4.03073524932478,0.495,0.062,0,"4","TNXB"
0,3.56438520637716,0.504,0.113,0,"4","FBLN1"
3.45387679227088e-165,3.11523734775077,0.327,0.099,5.99385778530689e-161,"4","MMP2"
1.13528646174822e-174,3.07464563448976,0.286,0.07,1.97017612571786e-170,"4","SNED1"
2.45800797947664e-146,3.06343771635005,0.363,0.132,4.26562704758376e-142,"4","SOD2"
0,8.29716158842129,0.353,0.003,0,"5","PTPRB"
0,7.21558567621238,0.279,0.005,0,"5","VWF"
